Reference,Value,Footprint,Count,Datasheet,Mfg_Part_No
"P5, P6, P7, P8",CONN_01X01,Mounting_Holes:MountingHole_3.2mm_M3_Pad,4,,
"C1, C2",0.1uF,Capacitors_SMD:C_0805,2,,CL21B104KBCNNNC
"FB1, FB2",FERRITE,Resistors_SMD:R_0805,2,,742792040
U1,CAT24C02TDI,TO_SOT_Packages_SMD:TSOT-23-5,1,,CAT24C02TDI-GT3A
R1,10k,Resistors_SMD:R_0805,1,,RC0805FR-0710KL
"P2, P1, P3, P4",Conn_02x17_Odd_Even,Sci-Bots:Pogo_Pin_Header_Straight_2x17_Pitch2.54mm,4,,823-22-034-10-000101
J5,SFM-125-01-L-D,Sci-Bots:TFM-125-01-XXX-D-RA,1,,SFM-125-01-L-D
"J6, J4",SFM-120-01-L-D,Sci-Bots:TFM-120-01-XXX-D-RA,2,,SFM-120-01-L-D
